DATE,ITEM_CODE,DEMAND,LEAD_TIME_DAYS,UNIT_COST
2024-01-01,URUN-A,44,7,18.5
2024-01-02,URUN-A,42,7,18.5
2024-01-03,URUN-A,53,7,18.5
2024-01-04,URUN-A,50,7,18.5
2024-01-05,URUN-A,30,7,18.5
2024-01-06,URUN-A,29,7,18.5
2024-01-07,URUN-A,38,7,18.5
2024-01-08,URUN-A,41,7,18.5
2024-01-09,URUN-A,48,7,18.5
2024-01-10,URUN-A,45,7,18.5
2024-01-11,URUN-A,50,7,18.5
2024-01-12,URUN-A,44,7,18.5
2024-01-13,URUN-A,37,7,18.5
2024-01-14,URUN-A,43,7,18.5
2024-01-15,URUN-A,46,7,18.5
2024-01-16,URUN-A,45,7,18.5
2024-01-17,URUN-A,52,7,18.5
2024-01-18,URUN-A,42,7,18.5
2024-01-19,URUN-A,45,7,18.5
2024-01-20,URUN-A,37,7,18.5
2024-01-21,URUN-A,38,7,18.5
2024-01-22,URUN-A,41,7,18.5
2024-01-23,URUN-A,56,7,18.5
2024-01-24,URUN-A,50,7,18.5
2024-01-25,URUN-A,45,7,18.5
2024-01-26,URUN-A,40,7,18.5
2024-01-27,URUN-A,40,7,18.5
2024-01-28,URUN-A,41,7,18.5
2024-01-29,URUN-A,47,7,18.5
2024-01-30,URUN-A,52,7,18.5
2024-01-31,URUN-A,62,7,18.5
2024-02-01,URUN-A,46,7,18.5
2024-02-02,URUN-A,39,7,18.5
2024-02-03,URUN-A,34,7,18.5
2024-02-04,URUN-A,43,7,18.5
2024-02-05,URUN-A,51,7,18.5
2024-02-06,URUN-A,50,7,18.5
2024-02-07,URUN-A,48,7,18.5
2024-02-08,URUN-A,45,7,18.5
2024-02-09,URUN-A,46,7,18.5
2024-02-10,URUN-A,43,7,18.5
2024-02-11,URUN-A,43,7,18.5
2024-02-12,URUN-A,43,7,18.5
2024-02-13,URUN-A,53,7,18.5
2024-02-14,URUN-A,53,7,18.5
2024-02-15,URUN-A,50,7,18.5
2024-02-16,URUN-A,48,7,18.5
2024-02-17,URUN-A,41,7,18.5
2024-02-18,URUN-A,44,7,18.5
2024-02-19,URUN-A,47,7,18.5
2024-02-20,URUN-A,53,7,18.5
2024-02-21,URUN-A,57,7,18.5
2024-02-22,URUN-A,42,7,18.5
2024-02-23,URUN-A,42,7,18.5
2024-02-24,URUN-A,38,7,18.5
2024-02-25,URUN-A,38,7,18.5
2024-02-26,URUN-A,46,7,18.5
2024-02-27,URUN-A,60,7,18.5
2024-02-28,URUN-A,50,7,18.5
2024-02-29,URUN-A,55,7,18.5
2024-03-01,URUN-A,36,7,18.5
2024-03-02,URUN-A,39,7,18.5
2024-03-03,URUN-A,43,7,18.5
2024-03-04,URUN-A,50,7,18.5
2024-03-05,URUN-A,56,7,18.5
2024-03-06,URUN-A,58,7,18.5
2024-03-07,URUN-A,49,7,18.5
2024-03-08,URUN-A,42,7,18.5
2024-03-09,URUN-A,45,7,18.5
2024-03-10,URUN-A,41,7,18.5
2024-03-11,URUN-A,41,7,18.5
2024-03-12,URUN-A,48,7,18.5
2024-03-13,URUN-A,50,7,18.5
2024-03-14,URUN-A,53,7,18.5
2024-03-15,URUN-A,46,7,18.5
2024-03-16,URUN-A,45,7,18.5
2024-03-17,URUN-A,40,7,18.5
2024-03-18,URUN-A,49,7,18.5
2024-03-19,URUN-A,57,7,18.5
2024-03-20,URUN-A,53,7,18.5
2024-03-21,URUN-A,53,7,18.5
2024-03-22,URUN-A,42,7,18.5
2024-03-23,URUN-A,40,7,18.5
2024-03-24,URUN-A,41,7,18.5
2024-03-25,URUN-A,42,7,18.5
2024-03-26,URUN-A,56,7,18.5
2024-03-27,URUN-A,53,7,18.5
2024-03-28,URUN-A,51,7,18.5
